X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,TEL,FAX,詳細情報,開館時間,URL,バリアフリー情報,駐輪場 PC,駐輪場 携,大分類,小分類,カテゴリ,アイコン番号,施設ID
135.511406,34.72937,淀川キリスト教病院,よどがわきりすときょうびょういん,淀川キリスト教病院（よどがわきりすときょうびょういん）,東淀川区柴島１丁目７－５０,東淀川区,0120-364-489,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95437
135.480711,34.730759,共立外科内科,きょうりつげかないか,共立外科内科（きょうりつげかないか）,淀川区新高１丁目１１－６,淀川区,06-6392-5991,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95434
135.523417,34.738575,医誠会病院,いせいかいびょういん,医誠会病院（いせいかいびょういん）,東淀川区菅原６丁目２－２５,東淀川区,06-6326-1121,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95435
135.535589,34.746944,白山病院,しらやまびょういん,白山病院（しらやまびょういん）,東淀川区豊新５丁目１５－２５,東淀川区,06-6327-0871,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95436
135.513879,34.598384,阪和記念病院,はんわきねんびょういん,阪和記念病院（はんわきねんびょういん）,住吉区苅田７丁目１１－１１,住吉区,06-6696-5591,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95438
135.505376,34.605336,阪和住吉総合病院,はんわすみよしそうごうびょういん,阪和住吉総合病院（はんわすみよしそうごうびょういん）,住吉区南住吉３丁目２－９,住吉区,06-6692-1001,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95439
135.53955,34.639848,小山病院,こやまびょういん,小山病院（こやまびょういん）,東住吉区今林２丁目２－１,東住吉区,06-6751-9551,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95440
135.526266,34.623214,東和病院,とうわびょういん,東和病院（とうわびょういん）,東住吉区田辺４丁目１３－１５,東住吉区,06-6621-2211,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95441
135.527676,34.611025,東住吉森本病院,ひがしすみよしもりもとびょういん,東住吉森本病院（ひがしすみよしもりもとびょういん）,東住吉区鷹合３丁目２－６６,東住吉区,06-6606-0010,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95442
135.551151,34.67783789,矢木脳神経外科病院,やぎのうしんけいげかびょういん,矢木脳神経外科病院（やぎのうしんけいげかびょういん）,東成区東今里２丁目１２－１３,東成区,06-6978-2307,,,,http://www.kouzenkai.or.jp/yagi-hp/,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95433
135.507748,34.669118,原田病院,はらだびょういん,原田病院（はらだびょういん）,中央区島之内２丁目１７－１５,中央区,06-6211-1006,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95429
135.509327,34.666433,日本橋病院,にっぽんばしびょういん,日本橋病院（にっぽんばしびょういん）,中央区高津３丁目２－２２,中央区,06-6643-2022,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95430
135.513174,34.668417,高津病院,こうずびょういん,高津病院（こうずびょういん）,中央区瓦屋町３丁目２－７,中央区,06-6761-1421,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95431
135.519474,34.689347,大手前病院,おおてまえびょういん,大手前病院（おおてまえびょういん）,中央区大手前１丁目５－３４,中央区,06-6941-0484,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95432
135.4823472,34.69205614,JCHO 大阪病院,じぇいしーえいちおー おおさかびょういん,JCHO 大阪病院（じぇいしーえいちおー おおさかびょういん）,福島区福島4-2-78,福島区,06-6441-5451,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,3562
135.4842781,34.69081414,医療法人啓信会　中之島いわき病院,いりょうほうじんけいしんかい　なかのしまいわきびょういん,医療法人啓信会　中之島いわき病院（いりょうほうじんけいしんかい　なかのしまいわきびょういん）,福島区福島3-2-9,福島区,06-6458-3151,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,3558
135.525305,34.698843,聖和病院,せいわびょういん,聖和病院（せいわびょういん）,都島区中野町１丁目７－３２,都島区,06－6352－2525,,区内救急病院,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95427
135.531238,34.713634,神原病院,かんばらびょういん,神原病院（かんばらびょういん）,都島区高倉町１丁目１０－５,都島区,06－6923－3351,,区内救急病院,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95425
135.532247,34.69782,明生病院,めいせいびょういん,明生病院（めいせいびょういん）,都島区東野田町２丁目４－８,都島区,06－6353－3121,,区内救急病院,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95428
135.533985,34.69901,協和病院,きょうわびょういん,協和病院（きょうわびょういん）,都島区東野田町５丁目２－２５,都島区,06－6357－1131,,区内救急病院,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95426
135.435762,34.654004,大阪みなと中央病院,おおさかみなとちゅうおうびょういん,大阪みなと中央病院（おおさかみなとちゅうおうびょういん）,港区築港１丁目８－３０,港区,06－6572－5721,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95424
135.5235219,34.70773914,大阪市立総合医療センター,おおさかしりつそうごういりょうせんたー,大阪市立総合医療センター（おおさかしりつそうごういりょうせんたー）,都島区都島本通2-13-22,都島区,06-6929-1221,,,,http://www.osakacity-hp.or.jp/ocgh/,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,2996
135.4858061,34.62074981,大阪市立住吉市民病院,おおさかしりつすみよししみんびょういん,大阪市立住吉市民病院（おおさかしりつすみよししみんびょういん）,住之江区東加賀屋1‐2‐16,住之江区,06-6681-1000,,,,http://www.osakacity-hp.or.jp/sumiyoshi/,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,9187
135.4769499,34.72832197,大阪市立十三市民病院,おおさかしりつじゅうそうしみんびょういん,大阪市立十三市民病院（おおさかしりつじゅうそうしみんびょういん）,淀川区野中北2-12-27,淀川区,06-6150-8000,,,,http://www.osakacity-hp.or.jp/juso/,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,2567
135.555818,34.715499,真心会病院,しんしんかいびょういん,真心会病院（しんしんかいびょういん）,旭区新森２丁目２４－２０,旭区,06-6953-1346,06-6953-1347,,9:00～17:00　ただし診療科によって異なる,http://www11.ocn.ne.jp/~sin1346/index.html,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95423
135.55577,34.625892,医療法人　植田産婦人科,いりょうほうじん　うえださんふじんか,医療法人　植田産婦人科（いりょうほうじん　うえださんふじんか）,平野区平野宮町２丁目８－８,平野区,06-6791-1726,06-6791-1727,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95422
135.567641,34.606634,長吉総合病院,ながよしそうごうびょういん,長吉総合病院（ながよしそうごうびょういん）,平野区長吉長原１丁目２－３４,平野区,06-6709-0301,06-6709-5920,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95419
135.543263,34.621585,緑風会病院,りょくふうかいびょういん,緑風会病院（りょくふうかいびょういん）,平野区背戸口１丁目１８－１３,平野区,06-6705-1021,,,,,,,,医療・福祉,病院・診療所,医療・福祉/病院・診療所,136,95421
